Company,Job title,Location,Graduation year,Degree,Branch,Experience requirement,Skills,Job description
Subex,Process Engineer,Kolkata,2016,B.E.,Petrochemical Engineering,4-6 Years,"Six Sigma, Process Design, Quality Control","Subex is expanding its Kolkata team and seeking a Process Engineer. A B.E. in Petrochemical Engineering is required along with working knowledge of Six Sigma, Process Design, Quality Control. Experience: 4-6 Years."
Hindustan Petroleum,Business Analyst,Chennai,2017,MBA,Information Technology,10+ Years,"JIRA, Requirement Gathering, Product Roadmap, Wireframing","Join Hindustan Petroleum as a Business Analyst in Chennai! We need someone with a MBA in Information Technology, strong command of JIRA, Requirement Gathering, Product Roadmap, Wireframing, and 10+ Years of relevant experience."
Unacademy,Network Administrator,Surat,2021,B.E.,Computer Science,5-7 Years,"Troubleshooting, Networking, Cybersecurity, CCNA","Join Unacademy as a Network Administrator in Surat! We need someone with a B.E. in Computer Science, strong command of Troubleshooting, Networking, Cybersecurity, CCNA, and 5-7 Years of relevant experience."
Zepto,Accounts Manager,Bhopal,2018,B.Com,Financial Management,5-7 Years,"Auditing, Budgeting, GST, Accounting Standards","Exciting opportunity for a Accounts Manager at Zepto (Bhopal). Applicants must be B.Com graduates in Financial Management, comfortable with Auditing, Budgeting, GST, Accounting Standards, and have 5-7 Years of industry experience."
Sonata Software,Project Engineer,Surat,2019,B.Tech,Civil Engineering,10+ Years,"Site Supervision, Estimation & Costing, STAAD Pro, MS Project","Sonata Software is hiring a Project Engineer for its Surat office. The role calls for a B.Tech in Civil Engineering and hands-on knowledge of Site Supervision, Estimation & Costing, STAAD Pro, MS Project. Experience required: 10+ Years."
Bajaj Finserv,Test Engineer,Surat,2016,BCA,Information Technology,8-12 Years,"Selenium, Postman, Automation Testing, Load Testing, JIRA","Join Bajaj Finserv as a Test Engineer in Surat! We need someone with a BCA in Information Technology, strong command of Selenium, Postman, Automation Testing, Load Testing, JIRA, and 8-12 Years of relevant experience."
Tata Steel,Associate Product Manager,Noida Sector 62,2019,MBA,Business Administration,5-8 Years,"SQL, Requirement Gathering, Stakeholder Management, Product Roadmap","Tata Steel is hiring a Associate Product Manager for its Noida Sector 62 office. The role calls for a MBA in Business Administration and hands-on knowledge of SQL, Requirement Gathering, Stakeholder Management, Product Roadmap. Experience required: 5-8 Years."
Dr. Reddy's Laboratories,Business Development Executive,Lucknow,2019,B.Com,General Management,10+ Years,"Lead Generation, Social Media Marketing, SEO, Salesforce, Negotiation","Dr. Reddy's Laboratories has an opening for a Business Development Executive based in Lucknow. The ideal candidate is a B.Com graduate in General Management with proficiency in Lead Generation, Social Media Marketing, SEO, Salesforce, Negotiation. Required experience: 10+ Years."
Rivigo,Marketing Executive,Bhopal,2016,BBA,General Management,7-10 Years,"Lead Generation, Negotiation, SEO, Social Media Marketing, Google Ads","Rivigo is expanding its Bhopal team and seeking a Marketing Executive. A BBA in General Management is required along with working knowledge of Lead Generation, Negotiation, SEO, Social Media Marketing, Google Ads. Experience: 7-10 Years."
Suzlon Energy,UI/UX Designer,Bangalore,2020,MBA,General,1-3 Years,"Figma, Sketch, Illustrator, SEO Writing","We are looking for a passionate UI/UX Designer to join Suzlon Energy in Bangalore. Candidates should hold a MBA (General) and be skilled in Figma, Sketch, Illustrator, SEO Writing. Experience level: 1-3 Years."
Dabur India,Backend Developer,Tirupati,2026,MCA,Computer Science,4-6 Years,"Java, Node.js, TypeScript, Spring Boot, Angular","Dabur India has an opening for a Backend Developer based in Tirupati. The ideal candidate is a MCA graduate in Computer Science with proficiency in Java, Node.js, TypeScript, Spring Boot, Angular. Required experience: 4-6 Years."
Siemens India,Business Intelligence Analyst,Pune,2017,B.Tech,Computer Science,5-7 Years,"Big Data, TensorFlow, Pandas, Data Visualization, Deep Learning","Join Siemens India as a Business Intelligence Analyst in Pune! We need someone with a B.Tech in Computer Science, strong command of Big Data, TensorFlow, Pandas, Data Visualization, Deep Learning, and 5-7 Years of relevant experience."
EY India,Construction Manager,Kochi,2023,B.Tech,Construction Technology,1-3 Years,"MS Project, Revit, Surveying","We are looking for a passionate Construction Manager to join EY India in Kochi. Candidates should hold a B.Tech (Construction Technology) and be skilled in MS Project, Revit, Surveying. Experience level: 1-3 Years."
Ola,Product Owner,Mangalore,2021,MBA,Business Administration,1-2 Years,"Requirement Gathering, Product Roadmap, Stakeholder Management","We are looking for a passionate Product Owner to join Ola in Mangalore. Candidates should hold a MBA (Business Administration) and be skilled in Requirement Gathering, Product Roadmap, Stakeholder Management. Experience level: 1-2 Years."
Intel India,Product Owner,Pune,2017,MBA,Information Technology,1-2 Years,"JIRA, Scrum, Agile, Requirement Gathering","Intel India is hiring a Product Owner for its Pune office. The role calls for a MBA in Information Technology and hands-on knowledge of JIRA, Scrum, Agile, Requirement Gathering. Experience required: 1-2 Years."
Upstox,Production Chemist,Mangalore,2016,M.Tech,Petrochemical Engineering,7-10 Years,"Process Design, Aspen Plus, Safety Management, Process Optimization","Upstox is expanding its Mangalore team and seeking a Production Chemist. A M.Tech in Petrochemical Engineering is required along with working knowledge of Process Design, Aspen Plus, Safety Management, Process Optimization. Experience: 7-10 Years."
Dell Technologies India,Site Reliability Engineer,Delhi NCR,2020,B.Tech,Computer Science,0-1 Years,"AWS, Monitoring Tools, Linux","Dell Technologies India has an opening for a Site Reliability Engineer based in Delhi NCR. The ideal candidate is a B.Tech graduate in Computer Science with proficiency in AWS, Monitoring Tools, Linux. Required experience: 0-1 Years."
Larsen & Toubro,DevOps Engineer,Mysore,2022,M.Tech,Information Technology,5-7 Years,"Docker, Monitoring Tools, GCP, Linux, Ansible","Exciting opportunity for a DevOps Engineer at Larsen & Toubro (Mysore). Applicants must be M.Tech graduates in Information Technology, comfortable with Docker, Monitoring Tools, GCP, Linux, Ansible, and have 5-7 Years of industry experience."
Asian Paints,Test Engineer,Visakhapatnam,2024,B.E.,Information Technology,3-5 Years,"Manual Testing, Selenium, TestNG, API Testing, JIRA","We are looking for a passionate Test Engineer to join Asian Paints in Visakhapatnam. Candidates should hold a B.E. (Information Technology) and be skilled in Manual Testing, Selenium, TestNG, API Testing, JIRA. Experience level: 3-5 Years."
Texas Instruments India,UI/UX Designer,Pune,2021,B.Sc,Design,2-4 Years,"Wireframing, Figma, Content Writing","Texas Instruments India is hiring a UI/UX Designer for its Pune office. The role calls for a B.Sc in Design and hands-on knowledge of Wireframing, Figma, Content Writing. Experience required: 2-4 Years."
ONGC,Production Engineer,Jaipur,2025,B.Tech,Automobile Engineering,10+ Years,"PLM, SolidWorks, CATIA, Six Sigma","ONGC has an opening for a Production Engineer based in Jaipur. The ideal candidate is a B.Tech graduate in Automobile Engineering with proficiency in PLM, SolidWorks, CATIA, Six Sigma. Required experience: 10+ Years."
Tata Elxsi,Business Analyst,Vadodara,2025,PGDM,General Management,1-3 Years,"Wireframing, Scrum, SQL","Join Tata Elxsi as a Business Analyst in Vadodara! We need someone with a PGDM in General Management, strong command of Wireframing, Scrum, SQL, and 1-3 Years of relevant experience."
CarDekho,HR Generalist,Bhubaneswar,2021,PGDM,Human Resources,7-10 Years,"Employee Engagement, Performance Management, HRMS, Talent Management, Recruitment","CarDekho has an opening for a HR Generalist based in Bhubaneswar. The ideal candidate is a PGDM graduate in Human Resources with proficiency in Employee Engagement, Performance Management, HRMS, Talent Management, Recruitment. Required experience: 7-10 Years."
Adani Group,Software Architect,Lucknow,2022,BCA,Electronics and Communication,7-10 Years,"React, TypeScript, MongoDB","Join Adani Group as a Software Architect in Lucknow! We need someone with a BCA in Electronics and Communication, strong command of React, TypeScript, MongoDB, and 7-10 Years of relevant experience."
Dabur India,Process Engineer,Indore,2016,B.Tech,Chemical Engineering,1-3 Years,"Process Optimization, Aspen Plus, Quality Control","We are looking for a passionate Process Engineer to join Dabur India in Indore. Candidates should hold a B.Tech (Chemical Engineering) and be skilled in Process Optimization, Aspen Plus, Quality Control. Experience level: 1-3 Years."
Cure.fit,System Engineer,Hinjewadi Pune,2022,BCA,Computer Science,Fresher,"Cybersecurity, CCNA, Firewalls","Join Cure.fit as a System Engineer in Hinjewadi Pune! We need someone with a BCA in Computer Science, strong command of Cybersecurity, CCNA, Firewalls, and Fresher of relevant experience."
Sonata Software,Backend Developer,Bhubaneswar,2019,B.Tech,Computer Science,8-12 Years,"HTML/CSS, AWS, Microservices, Git, Angular","Join Sonata Software as a Backend Developer in Bhubaneswar! We need someone with a B.Tech in Computer Science, strong command of HTML/CSS, AWS, Microservices, Git, Angular, and 8-12 Years of relevant experience."
SAP Labs India,Software Architect,Chennai,2018,MCA,Information Technology,3-5 Years,"MongoDB, MySQL, HTML/CSS, Spring Boot","We are looking for a passionate Software Architect to join SAP Labs India in Chennai. Candidates should hold a MCA (Information Technology) and be skilled in MongoDB, MySQL, HTML/CSS, Spring Boot. Experience level: 3-5 Years."
Delhivery,Marketing Manager,Tirupati,2019,MBA,General Management,4-6 Years,"Market Research, Lead Generation, Google Ads","We are looking for a passionate Marketing Manager to join Delhivery in Tirupati. Candidates should hold a MBA (General Management) and be skilled in Market Research, Lead Generation, Google Ads. Experience level: 4-6 Years."
Ashok Leyland,Civil Engineer,Multiple Locations,2025,M.Tech,Civil Engineering,4-6 Years,"Surveying, Estimation & Costing, Primavera","Ashok Leyland is hiring a Civil Engineer for its Multiple Locations office. The role calls for a M.Tech in Civil Engineering and hands-on knowledge of Surveying, Estimation & Costing, Primavera. Experience required: 4-6 Years."
JSW Steel,Infrastructure Engineer,Gandhinagar,2022,B.E.,Information Technology,0-2 Years,"AWS, Ansible, CI/CD","Exciting opportunity for a Infrastructure Engineer at JSW Steel (Gandhinagar). Applicants must be B.E. graduates in Information Technology, comfortable with AWS, Ansible, CI/CD, and have 0-2 Years of industry experience."
Cisco India,Infrastructure Engineer,Ranchi,2024,B.E.,Computer Science,5-8 Years,"CI/CD, Azure, Terraform","Cisco India is expanding its Ranchi team and seeking a Infrastructure Engineer. A B.E. in Computer Science is required along with working knowledge of CI/CD, Azure, Terraform. Experience: 5-8 Years."
Texas Instruments India,Manual Tester,Nashik,2024,B.Tech,Computer Science,5-8 Years,"JUnit, TestNG, JIRA, Automation Testing, Selenium","Texas Instruments India has an opening for a Manual Tester based in Nashik. The ideal candidate is a B.Tech graduate in Computer Science with proficiency in JUnit, TestNG, JIRA, Automation Testing, Selenium. Required experience: 5-8 Years."
Fortis Healthcare,Network Administrator,Chandigarh,2022,Diploma,Computer Science,2-3 Years,"CCNA, Linux, Networking, Cybersecurity, VPN","Fortis Healthcare is expanding its Chandigarh team and seeking a Network Administrator. A Diploma in Computer Science is required along with working knowledge of CCNA, Linux, Networking, Cybersecurity, VPN. Experience: 2-3 Years."
Sharechat,Design Engineer,Bangalore / Hyderabad,2025,Diploma,Mechanical Engineering,8-12 Years,"PLM, Lean Manufacturing, AutoCAD, SolidWorks","Sharechat is hiring a Design Engineer for its Bangalore / Hyderabad office. The role calls for a Diploma in Mechanical Engineering and hands-on knowledge of PLM, Lean Manufacturing, AutoCAD, SolidWorks. Experience required: 8-12 Years."
Punjab National Bank,Python Developer,Whitefield Bangalore,2016,B.Tech,Information Technology,5-7 Years,"Kubernetes, Git, MySQL, TypeScript, MongoDB","Join Punjab National Bank as a Python Developer in Whitefield Bangalore! We need someone with a B.Tech in Information Technology, strong command of Kubernetes, Git, MySQL, TypeScript, MongoDB, and 5-7 Years of relevant experience."
Biocon,Program Manager,Vijayawada,2019,MBA,Information Technology,1-3 Years,"Product Roadmap, Wireframing, Market Analysis, Agile","Exciting opportunity for a Program Manager at Biocon (Vijayawada). Applicants must be MBA graduates in Information Technology, comfortable with Product Roadmap, Wireframing, Market Analysis, Agile, and have 1-3 Years of industry experience."
Razorpay,Cloud Engineer,Gurgaon,2019,B.E.,Computer Science,0-1 Years,"CI/CD, AWS, Terraform, Monitoring Tools, Jenkins","Exciting opportunity for a Cloud Engineer at Razorpay (Gurgaon). Applicants must be B.E. graduates in Computer Science, comfortable with CI/CD, AWS, Terraform, Monitoring Tools, Jenkins, and have 0-1 Years of industry experience."
Lenskart,Sales Executive,Multiple Locations,2025,MBA,General Management,3-5 Years,"Content Marketing, Social Media Marketing, SEO, Lead Generation, Market Research","Exciting opportunity for a Sales Executive at Lenskart (Multiple Locations). Applicants must be MBA graduates in General Management, comfortable with Content Marketing, Social Media Marketing, SEO, Lead Generation, Market Research, and have 3-5 Years of industry experience."
Godrej Consumer Products,Business Analyst,Gandhinagar,2018,PGDM,General Management,5-8 Years,"Agile, Stakeholder Management, Requirement Gathering, SQL","Join Godrej Consumer Products as a Business Analyst in Gandhinagar! We need someone with a PGDM in General Management, strong command of Agile, Stakeholder Management, Requirement Gathering, SQL, and 5-8 Years of relevant experience."
KPMG India,System Engineer,Delhi NCR,2021,B.E.,Computer Science,8-12 Years,"Windows Server, Network Security, Networking, Troubleshooting","Exciting opportunity for a System Engineer at KPMG India (Delhi NCR). Applicants must be B.E. graduates in Computer Science, comfortable with Windows Server, Network Security, Networking, Troubleshooting, and have 8-12 Years of industry experience."
Mahindra & Mahindra,IT Support Engineer,Lucknow,2018,BCA,Information Technology,0-1 Years,"Cybersecurity, Linux, Firewalls, Windows Server","Join Mahindra & Mahindra as a IT Support Engineer in Lucknow! We need someone with a BCA in Information Technology, strong command of Cybersecurity, Linux, Firewalls, Windows Server, and 0-1 Years of relevant experience."
Kotak Mahindra Bank,SDET,Indore,2017,MCA,Information Technology,3-5 Years,"TestNG, JIRA, Manual Testing, API Testing, Selenium","Kotak Mahindra Bank has an opening for a SDET based in Indore. The ideal candidate is a MCA graduate in Information Technology with proficiency in TestNG, JIRA, Manual Testing, API Testing, Selenium. Required experience: 3-5 Years."
Wabco India,Cloud Architect,Kolkata,2016,B.E.,Information Technology,4-6 Years,"AWS, Linux, CI/CD, Kubernetes","Exciting opportunity for a Cloud Architect at Wabco India (Kolkata). Applicants must be B.E. graduates in Information Technology, comfortable with AWS, Linux, CI/CD, Kubernetes, and have 4-6 Years of industry experience."
Virtusa,Team Lead - Operations,Noida,2021,BBA,General,3-5 Years,"CRM Tools, Customer Service, Time Management, MS Office","Virtusa is hiring a Team Lead - Operations for its Noida office. The role calls for a BBA in General and hands-on knowledge of CRM Tools, Customer Service, Time Management, MS Office. Experience required: 3-5 Years."
Tata Consultancy Services,SDET,Mysore,2026,B.E.,Information Technology,0-2 Years,"API Testing, Automation Testing, TestNG, JIRA","Tata Consultancy Services has an opening for a SDET based in Mysore. The ideal candidate is a B.E. graduate in Information Technology with proficiency in API Testing, Automation Testing, TestNG, JIRA. Required experience: 0-2 Years."
Freshworks,Associate Product Manager,Bangalore / Hyderabad,2018,B.Tech,Business Administration,5-7 Years,"Requirement Gathering, Stakeholder Management, SQL, Wireframing, Agile","Join Freshworks as a Associate Product Manager in Bangalore / Hyderabad! We need someone with a B.Tech in Business Administration, strong command of Requirement Gathering, Stakeholder Management, SQL, Wireframing, Agile, and 5-7 Years of relevant experience."
Sharechat,Automation Test Engineer,Hyderabad,2017,B.Tech,Information Technology,2-3 Years,"JUnit, Manual Testing, TestNG, Test Case Design","Exciting opportunity for a Automation Test Engineer at Sharechat (Hyderabad). Applicants must be B.Tech graduates in Information Technology, comfortable with JUnit, Manual Testing, TestNG, Test Case Design, and have 2-3 Years of industry experience."
ICICI Bank,Operations Executive,Bangalore / Hyderabad,2018,B.A.,Commerce,8-12 Years,"Email Etiquette, Problem Solving, Time Management","ICICI Bank is expanding its Bangalore / Hyderabad team and seeking a Operations Executive. A B.A. in Commerce is required along with working knowledge of Email Etiquette, Problem Solving, Time Management. Experience: 8-12 Years."
Cars24,Digital Marketing Specialist,Nagpur,2022,BBA,General Management,5-8 Years,"Salesforce, Google Ads, Lead Generation, Social Media Marketing, SEO","Cars24 is hiring a Digital Marketing Specialist for its Nagpur office. The role calls for a BBA in General Management and hands-on knowledge of Salesforce, Google Ads, Lead Generation, Social Media Marketing, SEO. Experience required: 5-8 Years."
Coal India,Structural Engineer,Chandigarh,2026,M.Tech,Structural Engineering,4-6 Years,"Site Supervision, Surveying, STAAD Pro","Join Coal India as a Structural Engineer in Chandigarh! We need someone with a M.Tech in Structural Engineering, strong command of Site Supervision, Surveying, STAAD Pro, and 4-6 Years of relevant experience."
Nokia India,DevOps Engineer,Ahmedabad,2023,M.Tech,Computer Science,1-2 Years,"Jenkins, AWS, Terraform, Ansible, Linux","Exciting opportunity for a DevOps Engineer at Nokia India (Ahmedabad). Applicants must be M.Tech graduates in Computer Science, comfortable with Jenkins, AWS, Terraform, Ansible, Linux, and have 1-2 Years of industry experience."
KPMG India,Machine Learning Engineer,Vadodara,2026,MCA,Information Technology,10+ Years,"Tableau, Statistics, PyTorch","KPMG India is hiring a Machine Learning Engineer for its Vadodara office. The role calls for a MCA in Information Technology and hands-on knowledge of Tableau, Statistics, PyTorch. Experience required: 10+ Years."
Infosys,Control Systems Engineer,Pune,2025,B.Tech,Electrical Engineering,0-1 Years,"PCB Design, Circuit Design, Microcontrollers, Power Systems","Infosys is expanding its Pune team and seeking a Control Systems Engineer. A B.Tech in Electrical Engineering is required along with working knowledge of PCB Design, Circuit Design, Microcontrollers, Power Systems. Experience: 0-1 Years."
WNS Global Services,Graphic Designer,Vijayawada,2016,BCA,General,Fresher,"Illustrator, SEO Writing, Wireframing","Join WNS Global Services as a Graphic Designer in Vijayawada! We need someone with a BCA in General, strong command of Illustrator, SEO Writing, Wireframing, and Fresher of relevant experience."
Syntel,R&D Engineer,Coimbatore,2016,M.Tech,Production Engineering,5-8 Years,"CATIA, PLM, Six Sigma, Lean Manufacturing","Exciting opportunity for a R&D Engineer at Syntel (Coimbatore). Applicants must be M.Tech graduates in Production Engineering, comfortable with CATIA, PLM, Six Sigma, Lean Manufacturing, and have 5-8 Years of industry experience."
Paytm Money,Program Manager,Indore,2016,PGDM,Business Administration,3-5 Years,"JIRA, SQL, Agile","Join Paytm Money as a Program Manager in Indore! We need someone with a PGDM in Business Administration, strong command of JIRA, SQL, Agile, and 3-5 Years of relevant experience."
Adani Group,Learning & Development Executive,Chennai,2023,B.Com,HR Management,Fresher,"Talent Management, Communication, HR Policies, Recruitment, Performance Management","Join Adani Group as a Learning & Development Executive in Chennai! We need someone with a B.Com in HR Management, strong command of Talent Management, Communication, HR Policies, Recruitment, Performance Management, and Fresher of relevant experience."
Lenskart,Business Intelligence Analyst,Ahmedabad,2021,M.Sc,Computer Science,Fresher,"PyTorch, Deep Learning, SQL","We are looking for a passionate Business Intelligence Analyst to join Lenskart in Ahmedabad. Candidates should hold a M.Sc (Computer Science) and be skilled in PyTorch, Deep Learning, SQL. Experience level: Fresher."
WNS Global Services,Accounts Manager,Hinjewadi Pune,2026,MBA,Accounting,1-3 Years,"GST, Auditing, SAP, Financial Modeling, Budgeting","Exciting opportunity for a Accounts Manager at WNS Global Services (Hinjewadi Pune). Applicants must be MBA graduates in Accounting, comfortable with GST, Auditing, SAP, Financial Modeling, Budgeting, and have 1-3 Years of industry experience."
Nykaa,Process Associate,Lucknow,2023,Any Graduate,Management,3-5 Years,"Email Etiquette, CRM Tools, Communication, Problem Solving, MS Office","Nykaa is hiring a Process Associate for its Lucknow office. The role calls for a Any Graduate in Management and hands-on knowledge of Email Etiquette, CRM Tools, Communication, Problem Solving, MS Office. Experience required: 3-5 Years."
Nykaa,Maintenance Engineer,Whitefield Bangalore,2024,Diploma,Production Engineering,7-10 Years,"Six Sigma, PLM, Lean Manufacturing, CATIA","Nykaa is expanding its Whitefield Bangalore team and seeking a Maintenance Engineer. A Diploma in Production Engineering is required along with working knowledge of Six Sigma, PLM, Lean Manufacturing, CATIA. Experience: 7-10 Years."
DMart,Operations Executive,Mumbai,2026,Any Graduate,Management,2-3 Years,"MS Office, Problem Solving, Email Etiquette, Time Management","DMart is hiring a Operations Executive for its Mumbai office. The role calls for a Any Graduate in Management and hands-on knowledge of MS Office, Problem Solving, Email Etiquette, Time Management. Experience required: 2-3 Years."
Trent Limited,Chemical Engineer,Visakhapatnam,2016,B.E.,Petrochemical Engineering,5-8 Years,"Quality Control, Aspen Plus, Safety Management","Join Trent Limited as a Chemical Engineer in Visakhapatnam! We need someone with a B.E. in Petrochemical Engineering, strong command of Quality Control, Aspen Plus, Safety Management, and 5-8 Years of relevant experience."
Practo,Tax Consultant,Visakhapatnam,2018,MBA,Commerce,5-7 Years,"Taxation, Auditing, Accounting Standards, Financial Reporting, Financial Modeling","Join Practo as a Tax Consultant in Visakhapatnam! We need someone with a MBA in Commerce, strong command of Taxation, Auditing, Accounting Standards, Financial Reporting, Financial Modeling, and 5-7 Years of relevant experience."
Zensar Technologies,Cybersecurity Analyst,Lucknow,2023,Diploma,Information Technology,3-5 Years,"TCP/IP, Linux, Troubleshooting","Zensar Technologies is expanding its Lucknow team and seeking a Cybersecurity Analyst. A Diploma in Information Technology is required along with working knowledge of TCP/IP, Linux, Troubleshooting. Experience: 3-5 Years."
Cure.fit,Financial Analyst,Lucknow,2017,CMA,Accounting,5-7 Years,"GST, Accounting Standards, Tally","Cure.fit is hiring a Financial Analyst for its Lucknow office. The role calls for a CMA in Accounting and hands-on knowledge of GST, Accounting Standards, Tally. Experience required: 5-7 Years."
PharmEasy,.NET Developer,Lucknow,2020,BCA,Software Engineering,0-2 Years,"MySQL, Node.js, SQL, Python, Spring Boot","Exciting opportunity for a .NET Developer at PharmEasy (Lucknow). Applicants must be BCA graduates in Software Engineering, comfortable with MySQL, Node.js, SQL, Python, Spring Boot, and have 0-2 Years of industry experience."
Bharat Electronics,Electronics Engineer,Kolkata,2022,B.Tech,Electronics and Communication,2-3 Years,"Circuit Design, Power Systems, PCB Design, PLC, SCADA","Bharat Electronics has an opening for a Electronics Engineer based in Kolkata. The ideal candidate is a B.Tech graduate in Electronics and Communication with proficiency in Circuit Design, Power Systems, PCB Design, PLC, SCADA. Required experience: 2-3 Years."
Continental India,Program Manager,Surat,2023,MBA,Computer Science,5-7 Years,"SQL, Product Roadmap, Wireframing, Scrum, JIRA","We are looking for a passionate Program Manager to join Continental India in Surat. Candidates should hold a MBA (Computer Science) and be skilled in SQL, Product Roadmap, Wireframing, Scrum, JIRA. Experience level: 5-7 Years."
LG Electronics India,Instrumentation Engineer,Noida,2026,M.Tech,Electrical and Electronics,0-2 Years,"VLSI Design, Embedded C, MATLAB","LG Electronics India has an opening for a Instrumentation Engineer based in Noida. The ideal candidate is a M.Tech graduate in Electrical and Electronics with proficiency in VLSI Design, Embedded C, MATLAB. Required experience: 0-2 Years."
Dr. Reddy's Laboratories,Android Developer,Hyderabad,2022,MCA,Computer Science,10+ Years,"Spring Boot, JavaScript, SQL, REST APIs, Node.js","Dr. Reddy's Laboratories is expanding its Hyderabad team and seeking a Android Developer. A MCA in Computer Science is required along with working knowledge of Spring Boot, JavaScript, SQL, REST APIs, Node.js. Experience: 10+ Years."
Pidilite Industries,Site Reliability Engineer,Noida Sector 62,2026,MCA,Information Technology,1-3 Years,"Ansible, AWS, Linux, Docker","Exciting opportunity for a Site Reliability Engineer at Pidilite Industries (Noida Sector 62). Applicants must be MCA graduates in Information Technology, comfortable with Ansible, AWS, Linux, Docker, and have 1-3 Years of industry experience."
Ola,Network Engineer,Mumbai,2026,BCA,Information Technology,0-1 Years,"Firewalls, Linux, TCP/IP","Exciting opportunity for a Network Engineer at Ola (Mumbai). Applicants must be BCA graduates in Information Technology, comfortable with Firewalls, Linux, TCP/IP, and have 0-1 Years of industry experience."
IndusInd Bank,Mechanical Engineer,Nagpur,2023,B.Tech,Production Engineering,4-6 Years,"PLM, Ansys, Lean Manufacturing, Six Sigma, Product Design","IndusInd Bank is hiring a Mechanical Engineer for its Nagpur office. The role calls for a B.Tech in Production Engineering and hands-on knowledge of PLM, Ansys, Lean Manufacturing, Six Sigma, Product Design. Experience required: 4-6 Years."
Godrej Consumer Products,Finance Analyst,Hyderabad,2025,MBA,Finance,2-3 Years,"Excel, GST, SAP, Financial Modeling, Auditing","We are looking for a passionate Finance Analyst to join Godrej Consumer Products in Hyderabad. Candidates should hold a MBA (Finance) and be skilled in Excel, GST, SAP, Financial Modeling, Auditing. Experience level: 2-3 Years."
IndusInd Bank,Quality Engineer,Indore,2018,M.Tech,Automobile Engineering,2-4 Years,"Lean Manufacturing, CATIA, AutoCAD, CNC Programming","Join IndusInd Bank as a Quality Engineer in Indore! We need someone with a M.Tech in Automobile Engineering, strong command of Lean Manufacturing, CATIA, AutoCAD, CNC Programming, and 2-4 Years of relevant experience."
EXL Service,SDET,Tirupati,2016,B.Tech,Information Technology,3-5 Years,"Load Testing, Manual Testing, JIRA, Automation Testing, Postman","Join EXL Service as a SDET in Tirupati! We need someone with a B.Tech in Information Technology, strong command of Load Testing, Manual Testing, JIRA, Automation Testing, Postman, and 3-5 Years of relevant experience."
Tata Power,Investment Analyst,Remote,2025,M.Com,Accounting,2-4 Years,"GST, Tally, Taxation","Tata Power has an opening for a Investment Analyst based in Remote. The ideal candidate is a M.Com graduate in Accounting with proficiency in GST, Tally, Taxation. Required experience: 2-4 Years."
Hindustan Aeronautics,Embedded Systems Engineer,Surat,2023,B.Tech,Electronics and Communication,7-10 Years,"MATLAB, Microcontrollers, Embedded C, SCADA, VLSI Design","Hindustan Aeronautics is hiring a Embedded Systems Engineer for its Surat office. The role calls for a B.Tech in Electronics and Communication and hands-on knowledge of MATLAB, Microcontrollers, Embedded C, SCADA, VLSI Design. Experience required: 7-10 Years."
Concentrix,NLP Engineer,Multiple Locations,2025,M.Sc,Computer Science,2-3 Years,"Pandas, Deep Learning, Big Data","Concentrix is expanding its Multiple Locations team and seeking a NLP Engineer. A M.Sc in Computer Science is required along with working knowledge of Pandas, Deep Learning, Big Data. Experience: 2-3 Years."
boAt Lifestyle,Technical Writer,Mysore,2019,B.A.,General,1-2 Years,"Adobe Photoshop, Illustrator, SEO Writing","We are looking for a passionate Technical Writer to join boAt Lifestyle in Mysore. Candidates should hold a B.A. (General) and be skilled in Adobe Photoshop, Illustrator, SEO Writing. Experience level: 1-2 Years."
Schneider Electric India,Business Intelligence Analyst,Vadodara,2017,M.Sc,Information Technology,5-7 Years,"Excel, R, Pandas, PyTorch","Schneider Electric India has an opening for a Business Intelligence Analyst based in Vadodara. The ideal candidate is a M.Sc graduate in Information Technology with proficiency in Excel, R, Pandas, PyTorch. Required experience: 5-7 Years."
Tejas Networks,DevOps Engineer,Hyderabad,2016,MCA,Computer Science,8-12 Years,"GCP, Linux, CI/CD","Join Tejas Networks as a DevOps Engineer in Hyderabad! We need someone with a MCA in Computer Science, strong command of GCP, Linux, CI/CD, and 8-12 Years of relevant experience."
Hexaware Technologies,Instrumentation Engineer,Bangalore,2021,M.Tech,Electrical and Electronics,0-1 Years,"MATLAB, Circuit Design, SCADA, VLSI Design, PLC","Exciting opportunity for a Instrumentation Engineer at Hexaware Technologies (Bangalore). Applicants must be M.Tech graduates in Electrical and Electronics, comfortable with MATLAB, Circuit Design, SCADA, VLSI Design, PLC, and have 0-1 Years of industry experience."
Adani Green Energy,Production Chemist,Bangalore,2021,B.Tech,Chemical Engineering,1-2 Years,"Process Optimization, Six Sigma, Safety Management, Aspen Plus","We are looking for a passionate Production Chemist to join Adani Green Energy in Bangalore. Candidates should hold a B.Tech (Chemical Engineering) and be skilled in Process Optimization, Six Sigma, Safety Management, Aspen Plus. Experience level: 1-2 Years."
Tata Communications,System Engineer,Coimbatore,2023,B.E.,Information Technology,1-3 Years,"Linux, Firewalls, Network Security, VPN, TCP/IP","Exciting opportunity for a System Engineer at Tata Communications (Coimbatore). Applicants must be B.E. graduates in Information Technology, comfortable with Linux, Firewalls, Network Security, VPN, TCP/IP, and have 1-3 Years of industry experience."
